noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
80fc2cde-cc93-4d94-8f2e-8a53c6c4a93c,01,,Tecklenburg,49545,DEA37,DEU
80fc2cde-cc93-4d94-8f2e-8a53c6c4a93c,01,LOT-0001,,,,
80fc2cde-cc93-4d94-8f2e-8a53c6c4a93c,01,LOT-0002,,,,
f2f288d1-4d81-4487-abf7-c6bd0c996e22,01,,Immenstadt,87509,DE27E,DEU
f2f288d1-4d81-4487-abf7-c6bd0c996e22,01,LOT-0001,Immenstadt,87509,DE27E,DEU
d66220d5-2fb6-4e0a-b885-ebd544cee9e6,01,,83022,Rosenheim,DE213,DEU
d66220d5-2fb6-4e0a-b885-ebd544cee9e6,01,LOT-0001,83022,Rosenheim,DE213,DEU
00d958fa-1508-46e7-8b03-2e3cfab170a4,01,,Bremen,,DE501,DEU
00d958fa-1508-46e7-8b03-2e3cfab170a4,01,LOT-0001,Bremen,,DE501,DEU
68799396-9c0b-41bc-84f6-3c646b99051e,01,,Hanau,63450,DE719,DEU
68799396-9c0b-41bc-84f6-3c646b99051e,01,LOT-0001,Hanau,63450,DE719,DEU
6c0e64fd-a181-465d-a3ad-b4585d2758dd,01,,,,DEF06,DEU
6c0e64fd-a181-465d-a3ad-b4585d2758dd,01,LOT-0001,,,DEF06,DEU
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,,Berlin,10963,DE300,DEU
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,LOT-0000,Berlin,10963,DE300,DEU
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,,Hemmingen,30966,DE929,DEU
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,LOT-0001,Hemmingen,30966,DE929,DEU
38598773-63fb-48eb-b6aa-a255ff4040fa,01,,Stuttgart,,DE111,DEU
38598773-63fb-48eb-b6aa-a255ff4040fa,01,LOT-0001,Stuttgart,,DE111,DEU
3678614b-4cd2-4a0b-9d07-b3bf8b21c1cb,01,,Unkel – Koblenz - Wiesbaden,56068,DEB11,DEU
3678614b-4cd2-4a0b-9d07-b3bf8b21c1cb,01,LOT-0001,Unkel – Koblenz - Wiesbaden,56068,DEB11,DEU
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,,Wiesbaden,65185,DE714,DEU
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,LOT-0000,Wiesbaden,65185,DE714,DEU
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,LOT-0000,Frankfurt,60594,DE712,DEU
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,LOT-0000,Hünfeld,36088,DE732,DEU
c4745a16-5769-4144-a01f-0802676c2ac0,01,,,,DE40D,DEU
c4745a16-5769-4144-a01f-0802676c2ac0,01,LOT-0001,Rheinsberg,16831,DE40D,DEU
de9b5ae4-c01d-4d0c-acfa-5a1de3ff16a4,01,,Stuttgart,70191,DE111,DEU
de9b5ae4-c01d-4d0c-acfa-5a1de3ff16a4,01,LOT-0001,Stuttgart,70191,DE111,DEU
9a8ae6f7-4ea4-4b56-a73e-05759cff10a9,01,,Emmerich Am Rhein,46446,DEA1B,DEU
9a8ae6f7-4ea4-4b56-a73e-05759cff10a9,01,LOT-0001,Emmerich Am Rhein,46446,DEA1B,DEU
9a8ae6f7-4ea4-4b56-a73e-05759cff10a9,01,LOT-0002,Emmerich Am Rhein,46446,DEA1B,DEU
f6da07ed-feae-40a5-9eac-0aa287f95e78,01,,Braunschweig,38122,DE911,DEU
f6da07ed-feae-40a5-9eac-0aa287f95e78,01,LOT-0000,Braunschweig,38122,DE911,DEU
6f7f8e44-08f4-4d44-9904-cd2117e84eee,01,,Coesfeld,48653,DEA35,DEU
6f7f8e44-08f4-4d44-9904-cd2117e84eee,01,LOT-0001,Coesfeld,48653,DEA35,DEU
63de9706-6f8e-416b-9d0c-617396a34c87,01,,Gießen,35394,DE721,DEU
63de9706-6f8e-416b-9d0c-617396a34c87,01,LOT-0000,Gießen,35394,DE721,DEU
8014ade7-eefd-4ab9-b5aa-c3f0725bdf40,01,,Bad Salzungen,36433,DEG0R,DEU
8014ade7-eefd-4ab9-b5aa-c3f0725bdf40,01,LOT-0001,Bad Salzungen,36433,DEG0R,DEU
f77e1a90-902b-4f00-8bbc-42e977721d7f,01,,Oberschleißheim,85764,DE21H,DEU
f77e1a90-902b-4f00-8bbc-42e977721d7f,01,LOT-0001,Oberschleißheim,85764,DE21H,DEU
fb71ece0-27b2-42e6-8bcd-e8707b08ac24,01,,Langen,63225,DE71C,DEU
fb71ece0-27b2-42e6-8bcd-e8707b08ac24,01,LOT-0000,Langen,63225,DE71C,DEU
29c52430-b029-4424-8ca7-24374715bf58,01,,Berlin,10623,DE300,DEU
29c52430-b029-4424-8ca7-24374715bf58,01,LOT-0000,Berlin,10623,DE300,DEU
4b6da03a-87a6-453f-a25a-669cc405f290,01,,Elmshorn,25337,DEF09,DEU
4b6da03a-87a6-453f-a25a-669cc405f290,01,LOT-0001,Elmshorn,25337,DEF09,DEU
4b6da03a-87a6-453f-a25a-669cc405f290,01,LOT-0002,Elmshorn,25337,DEF09,DEU
4ad66f02-72eb-45a0-95b6-68f73ee7e093,01,,,,DE254,DEU
4ad66f02-72eb-45a0-95b6-68f73ee7e093,01,LOT-0001,,,DE254,DEU
b7d8db51-786a-4c0a-9bb5-cf046d701d5b,01,,Bad Salzungen,36433,DEG0R,DEU
b7d8db51-786a-4c0a-9bb5-cf046d701d5b,01,LOT-0001,Bad Salzungen,36433,DEG0R,DEU
