noticeIdentifier,noticeVersion,lotIdentifier,suitableForSMEs
68ed286a-7dcd-4fa8-8fe1-cef357b78bb9,01,LOT-0003,True
68ed286a-7dcd-4fa8-8fe1-cef357b78bb9,01,LOT-0004,True
d67d21b0-4b54-4ba6-96e2-3b6b23819299,01,LOT-0001,True
1b85bfe4-fb5b-49bb-84de-474fa2eb9ef5,01,LOT-0001,False
adbbb2a3-a548-485c-b584-b649f0cff1b3,01,LOT-0000,False
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0001,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0002,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0003,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0004,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0005,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0006,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0007,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0008,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0009,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0010,True
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,LOT-0011,True
071a393b-8c2d-42cd-9d57-551d42b58813,01,LOT-0000,False
bba1b515-3a6b-4be6-9618-db66267d5f72,01,LOT-0000,
2063f8a7-8d9a-4395-9834-8ab5d4a62d1d,01,LOT-0000,
5d6248d2-bbeb-4359-8df1-2c2b5dfe2de7,01,LOT-0000,
f1f7f1b8-2e26-45ae-bb75-30766d4f2c89,01,LOT-0000,
f964782e-bf72-4c36-bf5f-035b9b1ed8f3,01,LOT-0000,
c937ed17-050d-4d82-a8c8-4c8f5e7b1f9e,01,LOT-0001,
c937ed17-050d-4d82-a8c8-4c8f5e7b1f9e,01,LOT-0002,
37b9ca59-76f8-4f86-95c3-350b3f85e457,01,LOT-0001,False
0b0cee46-7028-48a3-ab93-706252419a34,01,LOT-0001,
